age;player_height;player_weight;college;country;draft_year;draft_round
32;210.82;108.86208;Yale;USA;1987;4
29;190.5;88.45044;Boise State;USA;Undrafted;Undrafted
23;198.12;99.79024;Southern Illinois;USA;1995;2
24;210.82;108.86208;Duke;USA;1995;1
26;187.96;86.18248;Florida State;USA;1994;1
31;208.28;110.676448;Pittsburgh;USA;1988;1
33;205.74;111.13004;Virginia Union;USA;1985;1
40;205.74;97.52228;Albany State (GA);USA;1979;8
34;198.12;114.305184;Auburn;USA;1984;1
27;200.66;102.0582;Cal State-Fullerton;USA;1990;2
26;210.82;99.79024;Tennessee State;USA;1994;1
27;193.04;79.3786;Eastern Michigan;USA;Undrafted;Undrafted
30;205.74;102.0582;Houston;USA;1990;2
25;200.66;97.52228;Indiana;USA;1993;1
36;193.04;92.98636;Arizona State;USA;1983;1
26;200.66;102.0582;Long Beach State;USA;1993;2
25;182.88;77.11064;Clemson;USA;1993;2
27;210.82;111.13004;Duke;USA;1992;1
29;203.2;97.52228;North Carolina State;USA;1989;2
26;200.66;108.86208;Southern Mississippi;USA;1992;1
33;195.58;83.91452;Georgetown;USA;1986;2
26;185.42;89.811216;Baylor;USA;Undrafted;Undrafted
24;205.74;108.86208;Memphis;USA;1995;1
31;215.9;106.59412;Navy;USA;1987;1
23;200.66;99.79024;Texas Tech;USA;Undrafted;Undrafted
25;200.66;92.98636;Kansas;USA;1994;2
26;180.34;77.11064;UCLA;USA;Undrafted;Undrafted
29;185.42;81.64656;Fayetteville State;USA;Undrafted;Undrafted
31;208.28;106.140528;Kansas;USA;1988;1
30;208.28;106.59412;Duke;USA;1989;1
30;180.34;73.935496;Boston College;USA;1989;1
26;195.58;94.347136;Virginia;USA;1992;1
38;210.82;117.93392;Syracuse;USA;1981;1
23;177.8;77.564232;Arizona;USA;1995;1
36;200.66;97.52228;Tennessee;USA;1983;1
28;210.82;104.32616;Clemson;USA;1991;1
25;195.58;96.615096;Purdue;USA;1995;2
35;198.12;81.64656;Washington State;USA;1983;3
24;185.42;86.18248;Virginia;USA;1995;1
23;200.66;111.13004;Arkansas;USA;1995;1
28;208.28;109.769264;Cincinnati;USA;1993;1
35;200.66;100.697424;Houston;USA;1983;1
24;210.82;104.32616;Louisville;USA;1994;1
30;208.28;102.0582;Connecticut;USA;1989;2
31;198.12;99.79024;Central Michigan;USA;1988;1
24;213.36;124.7378;Oklahoma State;USA;1995;1
26;200.66;90.7184;Cal State-Fullerton;USA;Undrafted;Undrafted
26;193.04;87.543256;Oklahoma State;USA;1994;1
28;205.74;104.32616;Texas-El Paso;USA;1990;2
20;205.74;101.604608;Kentucky;USA;1996;1
35;205.74;115.66596;Wichita State;USA;1983;1
27;193.04;94.347136;Missouri;USA;1992;1
25;205.74;115.66596;Michigan State;USA;1994;2
30;203.2;113.398;Tennessee State;USA;1988;3
25;187.96;82.553744;Houston;USA;1994;2
25;200.66;97.52228;Memphis;USA;1993;1
31;210.82;124.7378;Arkansas;USA;1988;2
24;208.28;104.32616;Florida;USA;1995;2
23;210.82;106.59412;Marquette;USA;1996;2
26;210.82;102.0582;Pfeiffer;USA;Undrafted;Undrafted
38;213.36;111.13004;Arizona State;USA;1981;1
22;182.88;74.84268;Georgetown;USA;1996;1
26;198.12;90.7184;Tennessee;USA;1993;1
29;187.96;89.811216;None;USA;Undrafted;Undrafted
24;205.74;106.59412;Indiana;USA;1995;1
30;203.2;120.20188;Lamar;USA;Undrafted;Undrafted
27;205.74;109.315672;Stanford;USA;1992;1
27;210.82;108.86208;Iowa;USA;1993;1
25;205.74;102.0582;Xavier;USA;Undrafted;Undrafted
24;195.58;94.800728;Temple;USA;1994;1
24;193.04;83.460928;Pennsylvania;USA;1995;2
33;205.74;102.0582;Oregon State;USA;1985;1
27;208.28;118.387512;Georgetown;USA;1992;1
32;205.74;104.32616;Nevada-Reno;USA;Undrafted;Undrafted
25;203.2;104.32616;Duke;USA;1994;2
33;205.74;117.93392;Nevada-Las Vegas;USA;1987;1
31;198.12;90.7184;California-Santa Barbara;USA;1988;1
25;205.74;115.212368;Xavier;USA;1994;1
23;203.2;99.79024;Indiana;USA;1996;1
29;210.82;104.32616;Augustana (SD);USA;Undrafted;Undrafted
26;208.28;113.398;Rice;USA;Undrafted;Undrafted
28;185.42;83.91452;Oklahoma;USA;1992;2
25;198.12;88.45044;Oregon State;USA;1995;1
32;210.82;104.32616;Iowa;USA;1987;2
27;195.58;99.79024;Southern;USA;1991;2
26;182.88;74.84268;Duke;USA;1993;1
24;195.58;90.7184;Florida State;USA;1995;1
22;205.74;99.79024;Alabama;USA;1995;1
26;203.2;95.25432;Houston;USA;Undrafted;Undrafted
